user_id	item_id	rating	timestamp
0	50	5	881250949
6	86	3	883603013
7	32	4	891350932
5	2	3	875636053
1	61	4	878542420
6	14	5	883599249
1	33	4	878542699
5	17	4	875636198
1	20	4	887431883
6	98	5	883600680
8	22	5	879362183
6	69	3	883601277
2	50	5	888552084
8	50	5	879362124
1	47	4	875072125
6	23	4	883601365
5	1	4	875635748
5	98	3	875720691
1	17	3	875073198
7	81	5	891352626
1	90	4	878542300
5	62	4	875637575
1	64	5	875072404
7	44	5	891351728
7	28	5	891352341
5	24	4	879198229
7	78	3	891354165
7	93	5	891351042
1	92	3	876892425
1	74	1	889751736
1	98	4	875072404
7	22	5	891351121
6	95	2	883602133
1	84	4	875072923
1	31	3	875072144
1	70	3	875072895
1	60	5	875072370
1	27	2	876892946
1	82	5	878542589
1	56	4	875072716
1	80	4	876893008
8	79	4	879362286
6	19	4	883602965
7	92	5	891352010
7	90	3	891352984
1	6	5	887431973
7	10	4	891352864
1	49	3	878542478
1	76	4	878543176
1	72	4	878542678
1	96	5	875072716
5	42	5	875636360
7	54	3	892132380
7	89	5	891351082
1	81	5	875072865
1	78	1	878543176
6	70	3	883601427
8	89	4	879362124
1	51	4	878543275
6	28	2	883603013
2	13	4	888551922
6	32	4	883601311
6	15	3	883599302
7	8	5	891351328
5	40	4	879198109
5	90	3	875636297
5	94	3	878844651
1	12	5	878542960
1	14	5	874965706
1	97	3	875073128
1	44	5	878543541
1	53	3	876893206
7	82	3	891351471
9	6	5	886960055
5	69	1	875721555
7	7	5	891352220
8	56	5	879362183
6	81	4	883602283
8	7	3	879362287
5	79	3	875635895
1	85	3	875073180
1	91	5	876892636
6	59	5	883601713
7	79	4	891352261
1	10	3	875693118
6	56	4	883601277
5	89	5	875636033
1	54	3	878543308
1	24	3	875071713
5	80	2	875636511
1	86	5	878543541
7	72	5	891353977
1	39	4	875072173
4	50	5	892003526
1	36	2	875073180
1	23	4	875072895
1	73	3	876892774
1	67	3	876893054
1	65	4	875072125
2	19	3	888550871
6	87	4	883602174
1	62	3	878542282
1	69	3	875072262
7	53	5	891354689
7	99	5	891352557
1	38	3	878543075
1	9	5	878543541
5	99	3	875721216
6	21	3	883600152
1	22	4	875072404
5	21	3	875635327
1	21	1	878542772
7	97	5	891351201
7	91	3	891353860
1	68	4	875072688
1	89	5	875072484
1	2	3	876893171
6	22	3	883602048
6	50	4	883600842
1	30	3	878542515
5	25	3	875635318
1	63	2	878543196
7	98	4	891351002
7	23	3	891351383
1	32	5	888732909
5	29	4	875637023
2	1	4	888550871
1	40	3	876893230
6	47	3	883600943
7	27	4	891352692
7	77	5	891353325
2	14	4	888551853
7	56	5	891351432
5	50	4	875635758
7	62	3	891354499
7	29	3	891353828
8	82	5	879362356
5	95	4	875721168
1	93	5	875071484
7	47	5	891352692
1	8	1	875072484
1	99	3	875072547
1	1	5	874965758
7	64	5	891350756
6	64	4	883600597
1	75	4	878543238
5	70	4	875636389
6	13	2	883599400
1	34	2	878542869
7	80	4	891354381
7	51	2	891352984
1	26	3	875072442
2	25	4	888551648
1	37	2	878543030
2	10	2	888551853
6	12	4	883601053
1	71	3	876892425
6	71	4	883601053
1	46	4	876893230
1	41	2	876892818
7	73	3	892133154
1	66	4	878543030
1	77	4	876893205
6	79	3	883600747
1	57	5	878542459
1	50	5	874965954
1	5	3	889751712
1	87	5	878543541
8	96	3	879362183
4	11	4	892004520
7	68	4	891351547
6	89	4	883600842
6	7	2	883599102
1	11	2	875072262
1	35	1	878542420
7	4	5	891351772
6	1	4	883599478
1	16	5	878543541
1	79	4	875072865
1	45	5	875241687
1	48	5	875072520
7	25	3	891352451
1	25	4	875071805
7	9	5	891351432
8	11	3	879362233
1	4	3	876893119
7	70	1	891352557
6	9	4	883599205
7	71	5	891352692
1	55	5	875072688
7	96	5	891351383
1	42	5	876892425
9	50	5	886960055
1	7	4	875071561
5	66	1	875721019
7	39	5	891353614
7	31	4	892134959
1	43	4	878542869
5	63	1	878844629
7	69	5	891351728
1	95	4	875072303
1	58	4	878542960
8	55	5	879362286
7	52	4	891353801
7	11	3	891352451
9	7	4	886960030
1	83	3	875072370
1	3	4	878542960
7	12	5	892135346
1	19	5	875071515
1	29	1	878542869
7	50	5	891351042
1	18	4	887432020
1	59	5	876892817
1	15	5	875071608
1	52	4	875072205
1	88	4	878542791
6	8	4	883600657
7	86	4	891350810
1	13	5	875071805
1	28	4	875072173
1	94	2	875072956
